txn_id,user_id,amount,txn_timestamp,hour_of_day,status
T000001,U00001,2216.11,2024-06-14 17:00:00,17,success
T000002,U00003,2122.39,2024-01-09 12:00:00,12,success
T000003,U00004,4096.68,2024-03-13 14:00:00,14,success
T000004,U00005,4623.52,2024-03-06 05:00:00,5,success
T000005,U00005,2163.13,2024-03-07 05:00:00,5,success
T000006,U00005,6463.59,2024-03-08 05:00:00,5,success
T000007,U00005,1968.73,2024-03-27 05:00:00,5,success
T000008,U00005,6898.28,2024-04-15 05:00:00,5,success
T000009,U00005,2121.3,2024-04-20 05:00:00,5,success
T000010,U00006,2465.09,2024-02-29 10:00:00,10,success
T000011,U00009,4071.9,2024-06-25 10:00:00,10,success
T000012,U00009,4101.34,2024-07-02 10:00:00,10,failed
T000013,U00009,6750.62,2024-07-07 10:00:00,10,success
T000014,U00010,3135.59,2024-05-22 19:00:00,19,success
T000015,U00011,1801.49,2024-01-26 21:00:00,21,success
T000016,U00011,6061.54,2024-01-29 21:00:00,21,success
T000017,U00011,3980.19,2024-02-01 21:00:00,21,success
T000018,U00011,3188.88,2024-02-10 21:00:00,21,failed
T000019,U00011,3175.47,2024-02-11 21:00:00,21,success
T000020,U00011,2237.75,2024-02-15 21:00:00,21,success
T000021,U00013,963.85,2024-04-20 18:00:00,18,success
T000022,U00013,6794.92,2024-04-27 18:00:00,18,success
T000023,U00013,2184.38,2024-04-22 18:00:00,18,success
T000024,U00013,2663.06,2024-05-11 18:00:00,18,success
T000025,U00014,5632.2,2024-01-11 20:00:00,20,success
T000026,U00016,1208.64,2024-01-24 20:00:00,20,success
T000027,U00016,2301.0,2024-01-28 20:00:00,20,success
T000028,U00016,6108.22,2024-02-01 20:00:00,20,success
T000029,U00016,6639.55,2024-02-05 20:00:00,20,success
T000030,U00018,2179.67,2024-03-02 16:00:00,16,success
T000031,U00018,4869.92,2024-03-05 16:00:00,16,success
T000032,U00018,1877.12,2024-03-14 16:00:00,16,success
T000033,U00018,1990.81,2024-03-05 16:00:00,16,success
T000034,U00018,6338.91,2024-03-30 16:00:00,16,success
T000035,U00018,2801.53,2024-03-12 16:00:00,16,success
T000036,U00018,5306.02,2024-03-14 16:00:00,16,success
T000037,U00020,4056.72,2024-06-05 00:00:00,0,success
T000038,U00020,1832.87,2024-06-12 00:00:00,0,success
T000039,U00020,3256.17,2024-06-09 00:00:00,0,success
T000040,U00020,3309.17,2024-07-02 00:00:00,0,failed
T000041,U00020,1103.44,2024-07-03 00:00:00,0,success
T000042,U00020,2373.86,2024-06-15 00:00:00,0,success
T000043,U00020,1937.52,2024-07-29 00:00:00,0,success
T000044,U00021,6427.82,2024-01-09 19:00:00,19,success
T000045,U00021,6211.57,2024-01-10 19:00:00,19,failed
T000046,U00021,1663.12,2024-01-19 19:00:00,19,success
T000047,U00022,2376.28,2024-05-24 17:00:00,17,success
T000048,U00022,4101.14,2024-05-25 17:00:00,17,success
T000049,U00022,3901.77,2024-05-26 17:00:00,17,success
T000050,U00022,2236.46,2024-06-11 17:00:00,17,success
T000051,U00022,3870.63,2024-06-17 17:00:00,17,success
T000052,U00022,1636.62,2024-06-28 17:00:00,17,success
T000053,U00024,3992.91,2024-06-19 07:00:00,7,success
T000054,U00025,3921.6,2024-06-29 06:00:00,6,success
T000055,U00025,6490.39,2024-07-01 06:00:00,6,success
T000056,U00028,5478.15,2024-02-27 11:00:00,11,success
T000057,U00029,3521.63,2024-04-25 14:00:00,14,success
T000058,U00029,1314.49,2024-05-01 14:00:00,14,success
T000059,U00034,1573.76,2024-06-30 22:00:00,22,success
T000060,U00039,1040.89,2024-02-27 01:00:00,1,success
T000061,U00039,1248.1,2024-03-05 01:00:00,1,pending
T000062,U00039,2647.52,2024-03-10 01:00:00,1,success
T000063,U00039,6483.64,2024-03-07 01:00:00,1,success
T000064,U00039,1041.31,2024-04-07 01:00:00,1,success
T000065,U00039,5373.78,2024-03-13 01:00:00,1,success
T000066,U00039,4163.38,2024-03-28 01:00:00,1,success
T000067,U00039,2776.23,2024-03-26 01:00:00,1,success
T000068,U00041,2268.43,2024-01-30 06:00:00,6,success
T000069,U00041,1697.08,2024-02-09 06:00:00,6,success
T000070,U00042,3818.2,2024-01-25 16:00:00,16,success
T000071,U00044,3993.24,2024-01-27 21:00:00,21,success
T000072,U00044,2511.14,2024-01-29 21:00:00,21,success
T000073,U00044,5925.78,2024-02-04 21:00:00,21,success
T000074,U00050,4154.62,2024-04-29 03:00:00,3,success
T000075,U00053,2800.21,2024-04-08 04:00:00,4,success
T000076,U00053,874.71,2024-04-10 04:00:00,4,success
T000077,U00055,2031.84,2024-05-25 07:00:00,7,success
T000078,U00061,2674.86,2024-02-22 03:00:00,3,success
T000079,U00061,1541.77,2024-03-01 03:00:00,3,success
T000080,U00062,1486.71,2024-06-30 22:00:00,22,failed
T000081,U00062,886.24,2024-07-01 22:00:00,22,success
T000082,U00064,4503.49,2024-01-13 11:00:00,11,success
T000083,U00064,4947.51,2024-01-22 11:00:00,11,success
T000084,U00064,4013.3,2024-01-21 11:00:00,11,success
T000085,U00064,730.95,2024-02-03 11:00:00,11,success
T000086,U00070,3953.69,2024-01-29 04:00:00,4,success
T000087,U00070,1632.27,2024-02-06 04:00:00,4,success
T000088,U00070,3449.05,2024-02-16 04:00:00,4,success
T000089,U00070,2100.16,2024-02-25 04:00:00,4,success
T000090,U00070,3135.34,2024-03-05 04:00:00,4,success
T000091,U00072,3981.72,2024-03-14 01:00:00,1,success
T000092,U00072,4528.51,2024-03-15 01:00:00,1,success
T000093,U00072,2180.6,2024-03-30 01:00:00,1,success
T000094,U00072,1803.51,2024-04-04 01:00:00,1,success
T000095,U00074,5365.56,2024-06-13 00:00:00,0,success
T000096,U00077,2569.7,2024-04-07 09:00:00,9,success
T000097,U00077,2831.31,2024-04-16 09:00:00,9,success
T000098,U00077,5928.77,2024-04-17 09:00:00,9,failed
T000099,U00077,1490.96,2024-04-19 09:00:00,9,success
T000100,U00077,2110.53,2024-05-17 09:00:00,9,success
T000101,U00082,5365.13,2024-07-01 19:00:00,19,failed
T000102,U00083,2917.85,2024-06-25 02:00:00,2,success
T000103,U00083,3014.84,2024-06-28 02:00:00,2,success
T000104,U00083,6149.98,2024-07-03 02:00:00,2,success
T000105,U00083,3210.85,2024-07-10 02:00:00,2,success
T000106,U00083,1980.69,2024-07-15 02:00:00,2,success
T000107,U00087,666.23,2024-06-12 15:00:00,15,success
