user_id,signup_date,acquisition_channel,country
U00001,2024-06-12,social,IN
U00002,2024-01-29,paid_ads,AE
U00003,2024-01-07,social,SG
U00004,2024-03-11,referral,IN
U00005,2024-03-03,paid_ads,IN
U00006,2024-02-27,referral,IN
U00007,2024-02-05,organic,IN
U00008,2024-01-27,paid_ads,IN
U00009,2024-06-22,paid_ads,IN
U00010,2024-05-19,paid_ads,US
U00011,2024-01-23,organic,AE
U00012,2024-05-31,paid_ads,AE
U00013,2024-04-18,referral,AE
U00014,2024-01-09,paid_ads,IN
U00015,2024-01-08,referral,IN
U00016,2024-01-24,referral,IN
U00017,2024-02-25,organic,US
U00018,2024-02-29,paid_ads,IN
U00019,2024-05-09,organic,SG
U00020,2024-06-03,referral,SG
U00021,2024-01-07,paid_ads,IN
U00022,2024-05-23,paid_ads,SG
U00023,2024-02-20,referral,SG
U00024,2024-06-15,referral,SG
U00025,2024-06-28,organic,IN
U00026,2024-05-19,social,AE
U00027,2024-04-17,referral,SG
U00028,2024-02-26,paid_ads,IN
U00029,2024-04-24,paid_ads,IN
U00030,2024-05-30,referral,IN
U00031,2024-03-12,organic,US
U00032,2024-01-02,organic,IN
U00033,2024-02-10,organic,SG
U00034,2024-06-27,social,IN
U00035,2024-04-18,organic,US
U00036,2024-03-28,paid_ads,IN
U00037,2024-03-12,organic,IN
U00038,2024-02-09,organic,IN
U00039,2024-02-25,paid_ads,IN
U00040,2024-03-27,organic,IN
U00041,2024-01-27,paid_ads,US
U00042,2024-01-24,paid_ads,SG
U00043,2024-04-07,organic,IN
U00044,2024-01-25,social,IN
U00045,2024-04-01,referral,IN
U00046,2024-03-29,referral,IN
U00047,2024-06-03,referral,SG
U00048,2024-03-08,social,US
U00049,2024-01-12,organic,IN
U00050,2024-04-27,paid_ads,IN
U00051,2024-05-17,referral,SG
U00052,2024-02-01,referral,IN
U00053,2024-04-06,referral,SG
U00054,2024-01-21,social,US
U00055,2024-05-21,paid_ads,IN
U00056,2024-03-16,social,AE
U00057,2024-06-09,paid_ads,US
U00058,2024-06-07,organic,IN
U00059,2024-04-02,paid_ads,IN
U00060,2024-05-27,organic,IN
U00061,2024-02-19,paid_ads,IN
U00062,2024-06-29,paid_ads,IN
U00063,2024-01-18,organic,IN
U00064,2024-01-12,social,IN
U00065,2024-06-18,referral,IN
U00066,2024-02-28,paid_ads,AE
U00067,2024-03-15,paid_ads,IN
U00068,2024-01-21,organic,US
U00069,2024-02-29,referral,SG
U00070,2024-01-26,organic,AE
U00071,2024-04-07,organic,IN
U00072,2024-03-12,paid_ads,IN
